symbol,margin_type,signal_index,trade_mode,trade_long,trade_short,leverage,cost_type,cost_amount,tpsl_mode,tp_long,tp_short,tp_close_long,tp_close_short,sl_long,sl_short,trailing_stop_mode,callback_long,callback_short,active_tl_long,active_tl_short,adx_in,position_long,position_value_long,position_short,position_value_short,exit_long,exit_value_long,exit_short,exit_value_short,sto_enter_long,sto_exit_long,sto_enter_short,sto_exit_short
BTC,USDT,-2,on,on,on,20,$,1.5,on,10,10,50,50,4,4,on,5,5,10,10,25,up,70,down,30,down,50,up,50,20,80,80,20
DOGE,USDT,-2,on,on,on,25,$,1.5,on,10,10,50,50,4,4,on,5,5,10,10,25,up,70,down,30,down,50,up,50,20,80,80,20
GAL,USDT,-2,on,on,on,25,$,1.5,on,10,10,50,50,4,4,on,5,5,10,10,25,up,70,down,30,down,50,up,50,20,80,80,20
IOST,USDT,-2,on,on,on,20,$,1.5,on,10,10,50,50,4,4,on,5,5,10,10,25,up,70,down,30,down,50,up,50,20,80,80,20
MANA,USDT,-2,on,on,on,20,$,1.5,on,10,10,50,50,4,4,on,5,5,10,10,25,up,70,down,30,down,50,up,50,20,80,80,20
MKR,USDT,-2,on,on,on,20,$,1.5,on,10,10,50,50,4,4,on,5,5,10,10,25,up,70,down,30,down,50,up,50,20,80,80,20
